"","USD1MTD156N","DGS3MO"
"1982-01-04",NA,11.87
"1982-01-05",NA,12.2
"1982-01-06",NA,12.16
"1982-01-07",NA,12.17
"1982-01-08",NA,11.98
"1982-01-11",NA,12.49
"1982-01-12",NA,12.52
"1982-01-13",NA,12.7
"1982-01-14",NA,13.17
"1982-01-15",NA,12.74
"1982-01-18",NA,13.41
"1982-01-19",NA,13.13
"1982-01-20",NA,13.51
"1982-01-21",NA,13.65
"1982-01-22",NA,13.63
"1982-01-25",NA,14.06
"1982-01-26",NA,13.65
"1982-01-27",NA,13.4
"1982-01-28",NA,12.84
"1982-01-29",NA,13.08
"1982-02-01",NA,14.77
"1982-02-02",NA,14.49
"1982-02-03",NA,14.64
"1982-02-04",NA,14.38
"1982-02-05",NA,14.63
"1982-02-08",NA,15.04
"1982-02-09",NA,14.91
"1982-02-10",NA,14.88
"1982-02-11",NA,15.06
"1982-02-12",NA,NA
"1982-02-15",NA,NA
"1982-02-16",NA,15.49
"1982-02-17",NA,15.31
"1982-02-18",NA,14.58
"1982-02-19",NA,14.17
"1982-02-22",NA,13.13
"1982-02-23",NA,12.93
"1982-02-24",NA,12.83
"1982-02-25",NA,12.79
"1982-02-26",NA,13
"1982-03-01",NA,12.81
"1982-03-02",NA,13.22
"1982-03-03",NA,12.85
"1982-03-04",NA,12.85
"1982-03-05",NA,12.86
"1982-03-08",NA,12.68
"1982-03-09",NA,12.93
"1982-03-10",NA,13
"1982-03-11",NA,13.24
"1982-03-12",NA,13.4
"1982-03-15",NA,13.47
"1982-03-16",NA,13.33
"1982-03-17",NA,13.36
"1982-03-18",NA,13.45
"1982-03-19",NA,13.69
"1982-03-22",NA,13.26
"1982-03-23",NA,13.11
"1982-03-24",NA,13.39
"1982-03-25",NA,13.35
"1982-03-26",NA,13.69
"1982-03-29",NA,14.16
"1982-03-30",NA,14.15
"1982-03-31",NA,13.99
"1982-04-01",NA,13.87
"1982-04-02",NA,13.95
"1982-04-05",NA,13.76
"1982-04-06",NA,13.77
"1982-04-07",NA,13.8
"1982-04-08",NA,13.74
"1982-04-09",NA,NA
"1982-04-12",NA,13.43
"1982-04-13",NA,13.33
"1982-04-14",NA,13.44
"1982-04-15",NA,13.47
"1982-04-16",NA,13.21
"1982-04-19",NA,13.04
"1982-04-20",NA,13.07
"1982-04-21",NA,12.73
"1982-04-22",NA,12.99
"1982-04-23",NA,12.99
"1982-04-26",NA,13.17
"1982-04-27",NA,13.04
"1982-04-28",NA,13.09
"1982-04-29",NA,13.2
"1982-04-30",NA,13.15
"1982-05-03",NA,13.46
"1982-05-04",NA,13.6
"1982-05-05",NA,13.39
"1982-05-06",NA,13.08
"1982-05-07",NA,13.02
"1982-05-10",NA,13.21
"1982-05-11",NA,12.97
"1982-05-12",NA,13.05
"1982-05-13",NA,13.09
"1982-05-14",NA,12.92
"1982-05-17",NA,13.02
"1982-05-18",NA,12.88
"1982-05-19",NA,12.47
"1982-05-20",NA,12
"1982-05-21",NA,11.99
"1982-05-24",NA,11.99
"1982-05-25",NA,12.07
"1982-05-26",NA,12.04
"1982-05-27",NA,12.06
"1982-05-28",NA,11.97
"1982-05-31",NA,NA
"1982-06-01",NA,12.55
"1982-06-02",NA,12.69
"1982-06-03",NA,12.63
"1982-06-04",NA,12.78
"1982-06-07",NA,12.71
"1982-06-08",NA,12.79
"1982-06-09",NA,12.62
"1982-06-10",NA,12.52
"1982-06-11",NA,12.55
"1982-06-14",NA,12.88
"1982-06-15",NA,12.93
"1982-06-16",NA,13.03
"1982-06-17",NA,13.15
"1982-06-18",NA,13.31
"1982-06-21",NA,13.11
"1982-06-22",NA,13.37
"1982-06-23",NA,13.67
"1982-06-24",NA,13.6
"1982-06-25",NA,13.87
"1982-06-28",NA,13.81
"1982-06-29",NA,13.8
"1982-06-30",NA,13.36
"1982-07-01",NA,13.14
"1982-07-02",NA,13.36
"1982-07-05",NA,NA
"1982-07-06",NA,13.18
"1982-07-07",NA,13.31
"1982-07-08",NA,12.48
"1982-07-09",NA,12.29
"1982-07-12",NA,12.22
"1982-07-13",NA,12.48
"1982-07-14",NA,12.53
"1982-07-15",NA,12.14
"1982-07-16",NA,11.68
"1982-07-19",NA,11.52
"1982-07-20",NA,11.11
"1982-07-21",NA,11.19
"1982-07-22",NA,10.83
"1982-07-23",NA,10.73
"1982-07-26",NA,10.87
"1982-07-27",NA,11.12
"1982-07-28",NA,11.41
"1982-07-29",NA,10.97
"1982-07-30",NA,10.57
"1982-08-02",NA,9.72
"1982-08-03",NA,10.18
"1982-08-04",NA,10.12
"1982-08-05",NA,10.19
"1982-08-06",NA,10.71
"1982-08-09",NA,10.25
"1982-08-10",NA,10.42
"1982-08-11",NA,10.37
"1982-08-12",NA,9.74
"1982-08-13",NA,9.6
"1982-08-16",NA,8.98
"1982-08-17",NA,8.33
"1982-08-18",NA,8.35
"1982-08-19",NA,7.76
"1982-08-20",NA,7.31
"1982-08-23",NA,7.75
"1982-08-24",NA,7.86
"1982-08-25",NA,7.67
"1982-08-26",NA,7.37
"1982-08-27",NA,8.1
"1982-08-30",NA,8.44
"1982-08-31",NA,8.72
"1982-09-01",NA,8.73
"1982-09-02",NA,8.66
"1982-09-03",NA,8.46
"1982-09-06",NA,NA
"1982-09-07",NA,8.68
"1982-09-08",NA,8.6
"1982-09-09",NA,8.57
"1982-09-10",NA,8.66
"1982-09-13",NA,8.41
"1982-09-14",NA,8.16
"1982-09-15",NA,8.44
"1982-09-16",NA,8.31
"1982-09-17",NA,8.23
