"Strike","Last","Chg","Bid","Ask","Vol","OI","Type","Expiration","Date","Ticker"
5,183.5,183.5,185.45,186.3,1,0,"calls",2018-08-17,2018-08-14,"AAPL"
12.5,175.99,175.99,178,178.9,1,0,"calls",2018-08-17,2018-08-14,"AAPL"
20,186.58,0,187.55,188.45,4,4,"calls",2018-08-17,2018-08-14,"AAPL"
65,143.05,0,142.15,143.05,1,1,"calls",2018-08-17,2018-08-14,"AAPL"
70,138.65,0,137.15,138.1,1650,0,"calls",2018-08-17,2018-08-14,"AAPL"
75,134.58,0,132.15,133.1,120,0,"calls",2018-08-17,2018-08-14,"AAPL"
80,128.75,0,127.15,128.05,360,0,"calls",2018-08-17,2018-08-14,"AAPL"
85,123.65,0,122.15,123.1,1780,0,"calls",2018-08-17,2018-08-14,"AAPL"
90,118.75,0,117.15,118.1,300,0,"calls",2018-08-17,2018-08-14,"AAPL"
95,113.3,0,112.15,113.1,520,0,"calls",2018-08-17,2018-08-14,"AAPL"
100,107.1,-2.550003,107.15,108.15,6,0,"calls",2018-08-17,2018-08-14,"AAPL"
105,104.66,0,102.15,103.15,30,0,"calls",2018-08-17,2018-08-14,"AAPL"
110,99.6,0,97.2,98.1,20,0,"calls",2018-08-17,2018-08-14,"AAPL"
115,93.85,0,92.15,93.15,650,17,"calls",2018-08-17,2018-08-14,"AAPL"
120,88.85,0,87.15,88.1,520,0,"calls",2018-08-17,2018-08-14,"AAPL"
125,83.85,0,82.15,83.15,360,0,"calls",2018-08-17,2018-08-14,"AAPL"
130,78.8,0,77.2,78.05,1302,13,"calls",2018-08-17,2018-08-14,"AAPL"
135,74.7,0,72.15,73.15,35,0,"calls",2018-08-17,2018-08-14,"AAPL"
140,70.7,0,69.5,70.05,1,20,"calls",2018-08-17,2018-08-14,"AAPL"
145,63.95,0,62.15,63.05,780,20,"calls",2018-08-17,2018-08-14,"AAPL"
150,57.9,-1.0499992,57.15,58.1,9,69,"calls",2018-08-17,2018-08-14,"AAPL"
155,55.07,1.0699997,54.55,54.9,1,72,"calls",2018-08-17,2018-08-14,"AAPL"
160,49.48,0,49.55,49.75,24,118,"calls",2018-08-17,2018-08-14,"AAPL"
162.5,45.5,16.5,44.7,45.6,1,1,"calls",2018-08-17,2018-08-14,"AAPL"
165,44.42,1.6799965,44.5,44.85,1,41,"calls",2018-08-17,2018-08-14,"AAPL"
167.5,42.17,0,39.9,40.6,20,0,"calls",2018-08-17,2018-08-14,"AAPL"
170,37.7,-1.2000008,37.4,38.1,50,162,"calls",2018-08-17,2018-08-14,"AAPL"
172.5,37.07,0,34.85,35.65,30,0,"calls",2018-08-17,2018-08-14,"AAPL"
175,34.52,0,34.5,34.85,7,83,"calls",2018-08-17,2018-08-14,"AAPL"
177.5,31.6,0,29.8,30.7,1507,0,"calls",2018-08-17,2018-08-14,"AAPL"
180,29.7,0.40000153,29.6,29.85,11,729,"calls",2018-08-17,2018-08-14,"AAPL"
182.5,27.82,0,27.1,27.35,10,29,"calls",2018-08-17,2018-08-14,"AAPL"
185,24.68,0.6800003,24.6,24.8,22,537,"calls",2018-08-17,2018-08-14,"AAPL"
187.5,22.25,0,22.05,22.5,9,29,"calls",2018-08-17,2018-08-14,"AAPL"
190,19.64,0.12999916,19.6,19.8,57,1457,"calls",2018-08-17,2018-08-14,"AAPL"
192.5,17,0.20000076,17.05,17.35,34,413,"calls",2018-08-17,2018-08-14,"AAPL"
195,14.7,0.4499998,14.7,14.9,107,1304,"calls",2018-08-17,2018-08-14,"AAPL"
197.5,12.25,0.19999981,12.15,12.45,16,331,"calls",2018-08-17,2018-08-14,"AAPL"
200,9.77,0.4800005,9.7,9.9,1079,4810,"calls",2018-08-17,2018-08-14,"AAPL"
202.5,7.22,0.33999968,7.2,7.4,280,2643,"calls",2018-08-17,2018-08-14,"AAPL"
